type,review_score,total_reviews,review_bucket
Free,0.6951710261569416,994,200-1k
Free,0.8545454545454545,55,50-200
Free,0.9074074074074074,432,200-1k
Free,0.6160337552742616,237,200-1k
Free,0.8602150537634409,186,50-200
Free,0.8888888888888888,99,50-200
Free,0.9298245614035088,57,50-200
Free,0.5088757396449705,169,50-200
Free,0.5728813559322034,295,200-1k
Free,0.873015873015873,63,50-200
Free,0.27848101265822783,79,50-200
Free,0.665,200,200-1k
Free,0.8899082568807339,109,50-200
Free,0.8452380952380952,84,50-200
Free,0.9733333333333334,75,50-200
Free,0.9539052496798975,1562,1k-10k
Free,0.8120300751879699,133,50-200
Free,0.9170305676855895,458,200-1k
Free,0.8494031221303948,1089,1k-10k
Free,0.9777777777777777,90,50-200
Free,0.7295918367346939,196,50-200
Free,0.8761421319796955,985,200-1k
Free,0.8078602620087336,229,200-1k
Free,0.8867924528301887,53,50-200
Free,0.848780487804878,205,200-1k
Free,0.6190476190476191,105,50-200
Free,0.6312211701869386,4119,1k-10k
Free,0.7157894736842105,95,50-200
Free,0.7040816326530612,98,50-200
Free,0.6328125,128,50-200
Free,0.7,70,50-200
Free,0.4228187919463087,1490,1k-10k
Free,0.6805555555555556,1440,1k-10k
Free,0.9129004329004329,5775,1k-10k
Free,0.7910447761194029,134,50-200
Free,0.773356401384083,578,200-1k
Free,0.6554621848739496,238,200-1k
Free,0.37254901960784315,102,50-200
Free,0.880464480874317,1464,1k-10k
Free,0.8315217391304348,184,50-200
Free,0.858433734939759,664,200-1k
Free,0.7,140,50-200
Free,0.5576923076923077,52,50-200
Free,0.9860260750558236,13883,10k+
Free,0.7777777777777778,108,50-200
Free,0.5409048396266207,54529,10k+
Free,0.4603174603174603,126,50-200
Free,0.5382226822416087,33815,10k+
Free,0.52,50,50-200
Free,0.7835051546391752,97,50-200
Free,0.9301825993555317,931,200-1k
Free,0.8165137614678899,218,200-1k
Free,0.647887323943662,71,50-200
Free,0.5860927152317881,302,200-1k
Free,0.966321243523316,386,200-1k
Free,0.41496598639455784,147,50-200
Free,0.5238095238095238,63,50-200
Free,0.8352941176470589,85,50-200
Free,0.8357142857142857,280,200-1k
Free,0.9282030940103134,2521,1k-10k
Free,0.5196850393700787,254,200-1k
Free,0.7550607287449392,494,200-1k
Free,0.8959025470653378,903,200-1k
Free,0.3229166666666667,96,50-200
Free,0.9403409090909091,704,200-1k
Free,0.7218045112781954,133,50-200
Free,0.8248407643312102,314,200-1k
Free,0.8958333333333334,288,200-1k
Free,0.9717314487632509,849,200-1k
Free,0.6975845410628019,1035,1k-10k
Free,0.984251968503937,127,50-200
Free,0.8316831683168316,404,200-1k
Free,0.7425282009535993,8599,1k-10k
Free,0.8,245,200-1k
Free,0.7066246056782335,634,200-1k
Free,0.7772727272727272,220,200-1k
Free,0.7557034220532319,1052,1k-10k
Free,0.8639112903225806,992,200-1k
Free,0.8158940397350993,755,200-1k
Free,0.868234007654456,1829,1k-10k
Free,0.5602409638554217,166,50-200
Free,0.7166666666666667,60,50-200
Free,0.8354430379746836,79,50-200
Free,0.6666666666666666,57,50-200
Free,0.787467700258398,1548,1k-10k
Free,0.6720867208672087,1476,1k-10k
Free,0.7368421052631579,152,50-200
Free,0.8761421319796955,1970,1k-10k
Free,0.8080918534718425,1829,1k-10k
Free,0.8793911007025761,9394,1k-10k
Free,0.8085106382978723,282,200-1k
Free,0.6741935483870968,310,200-1k
Free,0.8683322079675895,1481,1k-10k
Free,0.9112903225806451,124,50-200
Free,0.8599710284886528,2071,1k-10k
Free,0.6470588235294118,51,50-200
Free,0.6989795918367347,196,50-200
Free,0.7651515151515151,264,200-1k
Free,0.5164835164835165,182,50-200
Free,0.9445300462249615,649,200-1k
